mine_name,latitude,longitude,mine_type,resource_extracted,depth,killed,injured,temperature,humidity,wind_speed,weather_desc,AQI,CO,NO2,SO2,PM2.5,PM10,Slope_Angle,accident_year,accident_month,accident_weekday,Seismic_Magnitude,Seismic_Depth,hazard_type
Gouthamkhani Opencast Mine,17.2615,80.3738,opencast,coal,150,1,0,27.37,67,overcast clouds,2.95,2,377.18,9.43,11.09,20.93,30.02,3.054863482046456,2017,4,6,5.9,36.7,Other
Nawada-Purnadih Stone Mine,24.87889,85.54136,opencast,coal,150,1,0,25.78,10,clear sky,2.21,4,787.74,9.68,16.45,73.45,89.31,3.064178110269372,2017,4,5,5.9,36.7,Other
Pavitra Dharati Stone Quarry,22.68733,74.7705,opencast,stone quarry,100,1,0,28.73,29,few clouds,4.05,3,473.98,3.0,2.35,37.25,41.68,10.31774520968301,2017,3,0,4.3,35.761,Other
Ostapal Chromite Mine,21.0574,85.7895,opencast,chromite,150,1,0,24.52,70,clear sky,1.21,3,500.68,6.86,3.22,27.4,36.56,4.071366718417833,2017,1,1,5.9,36.7,Mine Collapse
Chikla Manganese Mine,21.55086,79.75128,opencast,Manganese,150,1,0,26.82,24,few clouds,1.39,4,507.36,3.17,2.8,50.89,54.7,2.721664738316103,2017,1,4,5.9,36.7,Other
Mehsana Drilling Mine,23.56475,72.37158,opencast,oil/gas,150,1,0,27.85,12,clear sky,2.94,3,467.3,10.8,4.59,28.59,59.77,2.780288515528755,2017,1,3,4.3,35.761,Other
Kaniha Opencast Mine,21.07881,85.04097,opencast,coal,150,1,0,24.57,73,few clouds,2.99,3,447.27,5.57,3.13,27.63,35.76,4.378896419866225,2017,1,2,5.9,36.7,Other
Dudhichua Opencast Project,24.1167,82.7167,opencast,coal,150,1,0,23.49,16,scattered clouds,1.37,4,540.73,5.1,1.97,51.74,56.15,2.031525425353211,2017,1,1,5.9,36.7,Other
Lalmatia open cast coal mine ,24.4167,87.5167,opencast,coal,150,17,2,27.16,9,broken clouds,1.47,5,794.41,9.85,9.78,82.06,104.56,6.864003944199335,2016,12,3,5.9,36.7,Other
Prakasham Khani Opencast Mine,17.968,80.78561,opencast,stone quarry,150,1,0,27.65,66,broken clouds,2.08,3,333.79,3.26,9.66,27.76,36.32,1.949337924507627,2016,12,0,5.9,36.7,Other
Bharatpur Opencast Project,20.9575,85.1289,opencast,coal,150,1,0,24.48,74,few clouds,2.61,3,534.06,6.34,1.82,31.15,39.92,16.09382063731574,2016,12,4,5.9,36.7,Other
Vindya Underground Mine,23.33581,80.90575,underground,coal,300,1,0,24.62,26,overcast clouds,1.23,4,540.73,5.91,2.21,56.5,63.78,2.780288515528755,2016,11,5,5.9,36.7,Other
Pali Underground Mine,22.3775,82.3255,underground,coal,300,1,0,27.32,17,overcast clouds,2.32,4,473.98,1.8,3.99,62.72,66.19,0.0,2016,11,0,5.9,36.7,Other
Manuguru OCP,17.9312,80.8266,opencast,coal,150,2,0,27.67,67,broken clouds,2.04,2,337.12,5.27,7.33,21.53,29.6,3.458998524393501,2016,4,0,5.9,36.7,Fire
Manuguru Opencast Mine,17.9312,80.8266,opencast,coal,150,2,0,27.67,67,broken clouds,2.04,2,337.12,5.27,7.33,21.53,29.6,3.458998524393501,2016,4,0,5.9,36.7,Fire
Shanthi Khani Coal Mine,19.0444,79.5178,underground,coal,300,3,1,29.51,43,overcast clouds,1.25,2,387.19,10.45,6.74,13.03,20.41,3.083271938038183,2016,4,2,5.9,36.7,Other
SHANKARPUR,21.63915,87.57412,opencast,coal,150,1,0,25.91,84,broken clouds,4.27,2,327.11,1.95,0.7,12.02,19.39,0.9274099368611016,2015,12,5,5.9,36.7,Mine Collapse
AMLOHRI OCP,24.125,82.5994,opencast,coal,150,1,0,22.9,15,broken clouds,1.03,4,520.71,3.77,2.09,59.5,63.84,21.55062615475973,2015,12,5,5.9,36.7,Other
GELEKI PRODUCTION OIL MINE,26.817,94.7,underground,petroleum,700,1,0,23.17,45,broken clouds,1.64,5,1054.76,16.97,2.3,112.98,130.89,2.077610755637687,2015,12,4,5.9,36.7,Other
RAMPURA AGUCHA LEAD & ZINC OPEN   CAST MIN,25.833,74.733,opencast,lead,150,1,0,23.61,22,clear sky,1.17,3,387.19,7.8,2.68,28.87,52.66,2.121016089592423,2015,12,0,4.3,35.761,Other
SOHAGPUR WEST,23.2386,81.2861,opencast,coal,150,1,0,23.52,26,broken clouds,1.33,4,614.17,7.37,1.89,65.29,73.07,5.898869220758116,2015,12,1,5.9,36.7,Other
AMALGAMATED KESHALPUR-WEST MUDIDIH,23.80444,86.318,opencast,coal,150,1,0,28.1,10,overcast clouds,0.85,4,554.09,6.68,7.39,53.4,72.45,2.958752796327834,2015,12,5,5.9,36.7,Other
TANDSI 1/2 COLLIERY,21.573,78.921,underground,coal,300,1,0,28.18,34,broken clouds,0.59,4,567.44,3.94,4.35,63.73,68.92,4.079001090092752,2015,12,3,4.3,35.761,Other
PRAKASHAM KHANI OPENCAST MINE,18.436,79.938,opencast,coal,150,1,0,28.08,47,few clouds,2.63,2,453.95,4.8,1.21,17.44,24.25,0.977573032232488,2015,11,0,5.9,36.7,Other
MIDWEST GRANITE MINE,15.9129,79.74,opencast,Granite,150,1,0,26.47,77,clear sky,2.13,2,293.73,1.82,0.4,20.54,29.24,2.942290479419107,2015,11,6,5.9,36.7,Other
KAYAD UNDERGROUND MINE,26.283,74.733,underground,zinc,150,1,0,23.85,11,clear sky,2.85,3,370.5,5.23,3.13,28.67,54.64,2.122941809134014,2015,11,5,4.3,35.761,Other
CHURCHA WEST,23.14,82.587,both,coal,800,1,0,24.83,14,overcast clouds,1.19,4,487.33,7.97,10.13,55.72,61.06,3.704791833671086,2015,11,3,5.9,36.7,Other
BHARATPUR PROJECT,20.92507,85.13267,opencast,coal,300,1,0,24.43,74,clear sky,2.36,3,534.06,6.34,1.82,31.15,39.92,1.358513459816457,2015,11,6,5.9,36.7,Other
MOHANPUR,21.83238,87.38921,opencast,coal,300,1,0,24.48,90,few clouds,3.16,2,387.19,3.9,1.77,14.37,23.04,1.363028160379932,2015,11,5,5.9,36.7,Other
KHAS KAJORA,23.62797,87.19496,opencast,iron ore,300,1,0,27.21,56,few clouds,2.89,5,1001.36,23.31,11.21,79.99,105.96,2.225925765805473,2015,11,3,5.9,36.7,Other
TANTRA-RAIKELA & BANDHAL IRON   MINE,21.945,85.147,opencast,iron ore,300,1,0,25.2,57,overcast clouds,1.28,5,1134.87,40.44,61.99,127.7,139.05,8.128218116052919,2015,11,6,5.9,36.7,Other
Thoria Marble Mine,25.076,73.88,opencast,marble,300,1,0,23.83,12,clear sky,2.87,3,380.52,6.08,5.07,31.11,53.69,0.9274099368729608,2015,10,5,4.3,35.761,Other
JEENAGORA,23.785,86.182,opencast,marble,300,1,0,27.89,10,overcast clouds,1.24,4,580.79,6.94,6.56,54.83,71.92,2.112877123896765,2015,10,4,5.9,36.7,Other
ARASU I MAGNESITE MINE,11.437,78.167,opencast,Manganese,300,1,0,25.5,81,broken clouds,1.88,1,390.53,7.45,7.63,7.47,9.63,1.854334168829563,2015,10,2,5.9,36.7,Other
P.B.PROJECT,23.66,85.596,opencast,coal,300,1,0,26.72,10,overcast clouds,2.03,4,567.44,7.45,4.41,51.85,68.37,3.437331074909611,2015,10,1,5.9,36.7,Other
KARANKOTE LIMESTONE MINE,17.487,77.591,opencast,limestone,300,1,0,26.69,42,clear sky,2.09,2,447.27,6.6,8.7,16.62,23.28,2.914777176792193,2015,10,0,4.3,35.761,Other
CHECHAT LIMESTONE MINE ,24.885,75.985,opencast,limestone,300,1,0,26.49,33,scattered clouds,1.67,4,727.65,13.37,10.49,51.69,73.09,2.758719907176799,2015,10,5,4.3,35.761,Other
Red Hills Magnesite Mine,11.451,78.167,opencast,Manganese,300,1,0,25.5,81,broken clouds,1.88,1,390.53,7.45,7.63,7.47,9.63,1.324820948476014,2015,10,3,5.9,36.7,Other
JHANJHAR MARBLE MINE ,25.19,73.687,opencast,marble,300,1,0,23.12,11,clear sky,0.7,3,377.18,6.08,5.13,29.79,51.27,31.57449799082537,2015,10,0,4.3,35.761,Other
NEYVELI NO 1,11.53599,79.48244,opencast,coal,300,1,0,26.32,84,broken clouds,1.87,2,410.56,9.85,22.65,9.76,13.51,4.208832938183672,2015,10,5,5.9,36.7,Other
SAMLESWARI OCP,21.692,83.56,opencast,coal,300,1,0,26.78,20,broken clouds,3.37,4,453.95,2.72,20.74,70.67,80.29,0.0,2015,9,2,5.9,36.7,Other
Hutti Gold Mine,16.197,76.656,opencast,gold,300,1,0,28.09,33,few clouds,1.04,4,667.57,22.96,5.48,51.21,63.23,2.942740721585106,2015,9,2,4.3,35.761,Other
VEERBHADRA GRANITE MINE,25.156,73.509,opencast,Granite,300,1,0,25.52,11,clear sky,1.19,3,420.57,10.45,4.65,28.31,49.97,16.95869865377719,2015,9,1,4.3,35.761,Other
CHANDRIKA GRANITE MINE,25.171,73.524,opencast,Granite,300,1,0,25.5,11,clear sky,1.13,3,420.57,10.45,4.65,28.31,49.97,2.248542353189335,2015,9,0,4.3,35.761,Other
MOCHIA LEAD AND ZINK MINE,25.04,73.805,opencast,lead,300,1,0,24.23,11,clear sky,2.48,3,380.52,6.08,5.07,31.11,53.69,0.9274099368611016,2015,9,5,4.3,35.761,Other
MORWAD MARBLE MINE,26.30758,73.835,opencast,marble,300,1,0,25.81,10,clear sky,3.72,3,480.65,9.85,3.87,32.92,57.81,1.034538972874965,2015,9,5,4.3,35.761,Other
POOTKEE,23.667,86.432,opencast,coal,300,1,0,29.01,9,overcast clouds,1.2,5,921.25,22.28,14.78,76.08,103.85,2.112437948348783,2015,9,5,5.9,36.7,Other
KARO I,23.78518,85.9783,opencast,coal,300,1,0,27.4,10,overcast clouds,1.59,4,580.79,7.2,5.66,54.77,70.45,2.745682168558567,2015,8,3,5.9,36.7,Other
BILLI MARKUNDI STONE MINE,24.618,83.077,opencast,stone quarry,150,1,0,25.65,16,overcast clouds,1.33,4,447.27,2.74,2.15,53.64,57.37,10.46712982047835,2015,8,3,5.9,36.7,Other
BILLI MARKUNDI STONE   MINE,24.618,83.077,opencast,stone quarry,150,1,0,25.65,16,overcast clouds,1.33,4,447.27,2.74,2.15,53.64,57.37,10.46712982047835,2015,8,3,5.9,36.7,Other
KUSMUNDA OCP,22.367,23.74408,opencast,coal,300,1,0,19.97,13,clear sky,4.76,4,213.62,0.21,0.04,31.25,146.79,3.837393035131951,2015,8,2,4.6,89.848,Other
GODAVARI KHANI NO.1,18.76418,79.50465,underground,coal,800,1,0,29.81,43,overcast clouds,1.01,2,607.49,13.54,6.62,21.68,33.57,0.9794581817153872,2015,8,1,5.9,36.7,Other
"KUMARDIHI ""A""",23.666,87.077,underground,coal,800,1,0,27.68,38,scattered clouds,2.55,5,1001.36,23.31,11.21,79.99,105.96,3.554946734580559,2015,8,6,5.9,36.7,Other
TRIPURA DRILLING MINE,23.748,91.387,underground,petroleum,800,1,0,22.93,80,broken clouds,1.83,3,507.36,7.2,1.54,36.5,51.56,1.373417544525171,2015,8,6,5.9,36.7,Other
BILLI MARKUNDI STONE MINE,24.618,83.077,opencast,coal,300,1,0,25.65,16,overcast clouds,1.33,4,447.27,2.74,2.15,53.64,57.37,10.46712982047835,2015,8,1,5.9,36.7,Other
BILLI MARKUNDI STONE   MINE,24.618,83.077,opencast,coal,300,1,0,25.65,16,overcast clouds,1.33,4,447.27,2.74,2.15,53.64,57.37,10.46712982047835,2015,8,1,5.9,36.7,Other
DURGAPUR RAYATWARI,20.024,79.266,opencast,coal,300,1,0,29.84,40,scattered clouds,1.76,4,580.79,5.91,2.15,56.82,66.22,2.180281338797255,2015,8,4,5.9,36.7,Other
LIGNITE PROJECT TADKESHWAR,21.453,73.075,opencast,lignite,300,1,0,28.03,44,clear sky,2.38,3,754.36,26.39,31.47,48.7,77.06,0.9274099368729608,2015,8,3,4.3,35.761,Other
ROCP/SOUTH JHARIA,23.731,86.414,opencast,coal,300,1,0,28.57,10,overcast clouds,0.67,5,921.25,22.28,14.78,76.08,103.85,6.315201023684407,2015,8,2,5.9,36.7,Other
BARSUA IRON ORE MINE,21.968,85.217,opencast,iron ore,300,1,0,23.84,61,overcast clouds,1.41,5,774.38,35.64,66.76,112.4,122.82,5.506379985966587,2015,7,1,5.9,36.7,Other
MASARO KI OBERI SERPENTINE MINE,25.0,73.0,opencast,serpentine,300,1,0,23.57,12,clear sky,0.8,3,347.14,5.66,2.68,23.16,51.93,5.639973161596584,2015,7,1,4.3,35.761,Other
AGARIA MARBLE MINE,25.15,73.567,opencast,marble,300,1,0,24.79,11,clear sky,0.72,3,420.57,10.45,4.65,28.31,49.97,35.02567686274575,2015,7,1,4.3,35.761,Other
KUMARDHUBI,23.74211,86.77878,opencast,lignite,300,1,0,28.2,11,overcast clouds,0.79,5,1001.36,22.62,16.93,81.69,112.2,1.013140234780745,2015,6,6,5.9,36.7,Other
GURH LIGNITE OPENCAST MINE,27.874,72.872,opencast,lignite,300,1,0,26.11,8,clear sky,4.85,3,520.71,9.17,9.06,36.69,89.38,4.29013080164107,2015,6,6,4.3,35.761,Other
JAWAHAR KHANI OPENCAST,17.5783,80.3225,opencast,coal,300,1,0,27.07,65,overcast clouds,3.61,2,367.17,9.6,11.44,21.23,30.51,3.704791833671086,2015,6,4,5.9,36.7,Other
BILLI MARKUNDI STONE MINE,24.62103,83.04218,opencast,stone quarry,300,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,6,3,5.9,36.7,Other
BILLI MARKUNDI STONE,24.62103,83.04218,opencast,stone quarry,300,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,6,3,5.9,36.7,Other
BILLI MARKUNDI STONE   MINE,24.62103,83.04218,opencast,stone quarry,300,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,6,3,5.9,36.7,Other
SRIRAMPUR OCP,18.8178,79.5339,opencast,coal,300,1,0,29.78,43,overcast clouds,0.93,2,500.68,15.25,17.88,17.49,26.85,2.167095419509493,2015,6,2,5.9,36.7,Other
TAWA - II MINE,22.13762,78.17093,opencast,coal,300,1,0,25.63,44,overcast clouds,3.01,4,594.14,6.6,4.29,63.3,69.9,11.16511523493003,2015,6,6,4.3,35.761,Other
CHANDA RAYATWARI,19.95076,79.29523,opencast,coal,300,1,0,29.83,40,few clouds,1.81,3,614.17,10.97,9.66,47.8,55.53,1.972631589219275,2015,6,6,5.9,36.7,Other
DAMNI UG MINE,22.35833,82.70222,underground,coal,300,1,0,26.56,15,overcast clouds,1.87,4,460.63,6.08,20.27,56.15,61.65,4.110298806664822,2015,6,5,5.9,36.7,Other
KUSMUNDA OCP,23.2074,83.0056,opencast,coal,300,1,0,24.15,14,overcast clouds,2.49,4,460.63,21.59,30.04,64.63,76.84,5.465865596917493,2015,6,0,5.9,36.7,Other
KUMDA 7&8 INCLIE,23.23647,82.99839,underground,coal,300,1,0,24.09,14,overcast clouds,2.52,4,453.95,17.65,25.99,70.32,80.11,1.370526097537869,2015,6,5,5.9,36.7,Other
MEGHATUBURU IRON ORE MINE,22.10881,85.27872,opencast,iron ore,300,1,0,23.29,68,overcast clouds,1.38,5,787.74,9.0,45.3,139.02,151.64,7.879131870497147,2015,6,3,5.9,36.7,Other
SETHURAYANPUDUR LIMESTONE MINE,8.78194,77.65411,opencast,limestone,300,1,0,27.55,71,overcast clouds,1.51,3,907.9,28.79,5.07,27.81,37.62,2.092706495346619,2015,5,4,5.9,36.7,Other
KHETRI COPPER MINE,28.015,75.77556,opencast,copper,300,1,0,22.06,9,clear sky,2.52,3,534.06,10.8,5.36,40.28,64.83,6.97249503711485,2015,5,5,4.3,35.761,Other
DALLI MECHANISED IRON ORE MINE,20.58261,81.07147,opencast,coal,300,1,0,25.99,48,scattered clouds,0.73,4,567.44,7.71,1.89,53.56,60.04,5.026814073743664,2015,5,2,5.9,36.7,Other
BONJAMEHARI,20.57086,81.02151,underground,coal,800,1,0,26.14,48,scattered clouds,0.66,4,567.44,7.71,1.89,53.56,60.04,7.495930606418758,2015,5,6,5.9,36.7,Other
MORWAD MARBLE MINE,26.60467,74.85147,opencast,marble,450,1,0,23.49,10,clear sky,2.67,3,447.27,10.45,3.28,31.32,60.8,0.9274099368611016,2015,5,5,4.3,35.761,Other
UMARSAR LIGNITE MINE,23.73147,68.81922,opencast,lignite,450,1,0,25.58,69,clear sky,4.59,2,226.97,0.53,0.54,16.85,44.61,2.112677294764244,2015,4,4,4.3,35.761,Other
NIZARNA MARBLE MINE,25.01033,73.85236,opencast,marble,450,1,0,24.0,11,clear sky,2.94,3,380.52,6.08,5.07,31.11,53.69,0.9274099368611016,2015,4,3,4.3,35.761,Other
ANKLESWAR PROJECT OIL MINE,21.63514,73.00033,opencast,coal,450,2,0,27.83,47,clear sky,3.1,3,614.17,15.59,5.48,41.07,60.6,2.105358959329957,2015,4,5,4.3,35.761,Other
UMRAYA MARBLE MINE,25.15131,73.84222,opencast,marble,450,1,0,23.56,11,clear sky,2.19,3,380.52,6.08,5.07,31.11,53.69,3.207440535450368,2015,4,3,4.3,35.761,Other
CHIRIMIRI OC,23.17667,82.33889,opencast,coal,450,1,0,23.49,18,overcast clouds,0.27,4,600.82,6.26,1.13,68.65,73.94,24.29775744808451,2015,4,1,5.9,36.7,Other
SRP-3 mine in Srirampur in Mancherial district,18.75,79.25,underground,coal,450,1,0,29.73,43,overcast clouds,1.28,2,480.65,7.03,2.33,15.48,25.49,1.348677678917681,2015,4,0,5.9,36.7,Other
SRIRAMPUR NO.3 & 3 A,18.75,79.25,underground,coal,450,1,0,29.73,43,overcast clouds,1.28,2,480.65,7.03,2.33,15.48,25.49,1.348677678917681,2015,4,0,5.9,36.7,Other
GOURI EXPANSION AMALGAMATED MINE,19.79556,79.30333,opencast,coal,450,1,12,29.84,40,clear sky,1.66,3,520.71,12.68,16.21,37.79,46.07,2.099688914692349,2015,4,4,5.9,36.7,Other
DHELANA SERPENTINE MINE,25.01736,74.15042,opencast,serpentine,450,1,0,22.8,15,clear sky,1.63,3,387.19,7.37,4.05,31.52,52.81,7.186491197801569,2015,3,0,4.3,35.761,Other
ARDHAGRAM OPENCAST COAL MINE,23.5875,87.08583,opencast,coal,450,1,0,27.41,51,few clouds,2.92,5,1255.04,19.54,10.73,123.69,152.39,4.145830128742221,2015,3,4,5.9,36.7,Other
NCPH/NCPH,23.19444,82.34889,underground,coal,450,1,0,23.61,17,overcast clouds,0.48,4,600.82,6.26,1.13,68.65,73.94,6.541805711410445,2015,3,1,5.9,36.7,Other
SHYAMSUNDARPUR,20.44719,85.79178,opencast,Manganese,450,1,0,24.07,87,broken clouds,1.81,2,397.21,3.9,0.83,17.37,24.95,1.854334168829563,2015,3,3,5.9,36.7,Other
ASAHI INDIA GLASS LTD.,25.50192,87.01236,opencast,silica,450,1,0,25.75,8,clear sky,3.92,5,1228.33,20.22,18.12,126.76,156.47,2.766401995722074,2015,3,1,5.9,36.7,Other
BASANTIMATA,23.72974,86.75787,underground,coal,450,1,0,28.2,11,overcast clouds,0.79,5,1001.36,22.62,16.93,81.69,112.2,2.745048732226612,2015,3,6,5.9,36.7,Other
VENKATESH KHANI NO.7,17.45194,80.69167,underground,coal,450,1,0,27.23,68,overcast clouds,3.39,3,337.12,9.51,19.55,25.46,35.46,1.854334168829563,2015,2,5,5.9,36.7,Other
SETHURAYANPUDUR LIMESTONE MINE,8.78442,77.65506,opencast,limestone,450,1,0,27.55,71,overcast clouds,1.51,3,907.9,28.79,5.07,27.81,37.62,2.092717824687653,2015,2,3,5.9,36.7,Other
BILLI MARKUNDI STONE MINE,24.62103,83.04218,opencast,stone quarry,450,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,2,2,5.9,36.7,Other
BILLI MARKUNDI STONE,24.62103,83.04218,opencast,stone quarry,450,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,2,2,5.9,36.7,Other
BILLI MARKUNDI STONE   MINE,24.62103,83.04218,opencast,stone quarry,450,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,2,2,5.9,36.7,Other
Gauti Expansion OC Mine ,19.7874,79.2972,opencast,coal,450,1,0,29.84,40,clear sky,1.66,3,520.71,12.68,16.21,37.79,46.07,3.096100205342771,2015,2,0,5.9,36.7,Other
GOURI EXPANSION AMALGAMATED MINE,19.7874,79.2972,opencast,coal,450,1,0,29.84,40,clear sky,1.66,3,520.71,12.68,16.21,37.79,46.07,3.096100205342771,2015,2,0,5.9,36.7,Other
MASARO KI OBERI SERPENTINE MINE,24.01361,73.68853,opencast,marble,450,1,0,27.89,9,clear sky,3.36,3,500.68,6.77,6.44,33.41,54.08,3.561886156300927,2015,2,6,4.3,35.761,Other
BALAKUNDI PINK GRANITE MINE,15.0,76.0,opencast,Granite,450,1,0,25.38,67,overcast clouds,4.54,2,277.04,2.29,0.42,20.19,30.09,3.704791833671086,2015,2,4,4.3,35.761,Other
SUBBRAYANAHALLI IRON ORE MINE,15.23475,76.39847,opencast,chromite,450,1,0,27.27,61,overcast clouds,3.7,3,303.75,3.43,0.89,27.84,38.48,9.3149761201649,2015,2,3,4.3,35.761,Other
AKASHKINARI,23.8085,86.28461,opencast,coal,450,1,0,28.03,10,overcast clouds,0.97,4,554.09,6.68,7.39,53.4,72.45,2.745953356571008,2015,1,5,5.9,36.7,Other
BAGDEWA U/G MINE,22.34167,82.56778,opencast,coal,450,1,0,26.72,15,overcast clouds,2.49,4,440.6,3.56,17.17,57.62,61.67,7.044651245885611,2015,1,4,5.9,36.7,Other
KHOTTADIH,23.72476,87.23845,opencast,coal,450,1,0,27.85,48,scattered clouds,2.69,5,1241.68,27.76,19.55,108.81,136.22,6.056005099534335,2015,1,3,5.9,36.7,Other
DURGAPUR RAYATWARI,20.01414,79.31053,opencast,coal,450,1,0,30.04,40,scattered clouds,1.69,4,580.79,5.91,2.15,56.82,66.22,1.354225714093352,2015,1,5,5.9,36.7,Other
RAVINDRA KHANI NEW TECH,18.88811,79.50167,underground,coal,450,1,0,29.77,43,overcast clouds,0.86,2,500.68,15.25,17.88,17.49,26.85,2.697028616218266,2015,1,6,5.9,36.7,Other
CHIKLA MANGANESE MINE,21.54306,79.75389,underground,Manganese,450,1,0,26.82,24,few clouds,1.39,4,507.36,3.17,2.8,50.89,54.7,20.13333484299973,2015,1,2,5.9,36.7,Other
MOHER & MOHER AMLOHRI EXTENSION   OCP,24.135,82.59944,opencast,coal,450,2,0,22.9,15,broken clouds,1.03,4,520.71,3.77,2.09,59.5,63.84,13.10464423699013,2015,1,0,5.9,36.7,Other
JHANJHAR MARBLE MINE,25.14689,73.79036,opencast,stone quarry,450,1,0,23.49,11,clear sky,1.92,3,377.18,6.08,5.13,29.79,51.27,4.627367505919335,2015,1,2,4.3,35.761,Other
KARGALI OCP,23.76889,85.97167,opencast,coal,450,1,0,27.4,10,overcast clouds,1.59,4,580.79,7.2,5.66,54.77,70.45,2.112817003004156,2015,1,0,5.9,36.7,Other
CHECHAT LIMESTONE MINE,24.76667,75.88333,opencast,limestone,450,1,0,26.22,36,few clouds,1.38,4,634.19,10.11,7.27,56.19,67.17,1.021333580448115,2015,1,0,4.3,35.761,Other
BILLI MARKUNDI STONE MINE,24.62103,83.04218,opencast,stone quarry,450,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,1,5,5.9,36.7,Other
BILLI MARKUNDI STONE,24.62103,83.04218,opencast,stone quarry,450,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,1,5,5.9,36.7,Other
BILLI MARKUNDI STONE   MINE,24.62103,83.04218,opencast,stone quarry,450,1,0,25.43,15,overcast clouds,1.32,4,447.27,2.74,2.15,53.64,57.37,18.7243775068473,2015,1,5,5.9,36.7,Other
Bharatpur Opencast Mine,20.96612,85.18492,opencast,coal,450,1,0,24.4,77,clear sky,2.87,3,534.06,6.34,1.82,31.15,39.92,3.414774378126485,2015,1,4,5.9,36.7,Other
BHUBANESWARI OPENCAST PROJECT,20.96612,85.18492,opencast,coal,450,1,0,24.4,77,clear sky,2.87,3,534.06,6.34,1.82,31.15,39.92,3.414774378126485,2015,1,4,5.9,36.7,Other
GIDI A,23.69087,85.36412,opencast,coal,450,1,0,25.94,11,overcast clouds,2.01,4,574.11,8.82,3.82,50.92,68.14,2.226812248521277,2015,1,3,5.9,36.7,Other
Basanti mata mine,23.7308,86.7561,underground,coal,900,4,160,28.2,11,overcast clouds,0.79,5,1001.36,22.62,16.93,81.69,112.2,3.174581370352306,2013,11,0,5.9,36.7,Mine Collapse
Anjani Hill Mine ,23.16678,82.32158,underground,coal,900,3,30,23.38,18,overcast clouds,0.29,4,600.82,6.26,1.13,68.65,73.94,5.898504181673025,2010,5,3,5.9,36.7,Other
Bagdigi mine ,23.70894,86.43161,underground,coal,900,29,0,28.74,10,overcast clouds,0.76,5,921.25,22.28,14.78,76.08,103.85,2.227066668279512,2001,2,4,5.9,36.7,Mine Collapse
Gajlitand colliery ,24.12431,86.86092,underground,coal,900,64,0,28.2,10,overcast clouds,0.37,4,707.63,11.65,7.99,69.34,90.71,2.749617049895467,1975,12,5,5.9,36.7,Flooding
Chasnala coal mine ,23.6635,86.4516,underground,coal,900,372,0,29.01,9,overcast clouds,1.2,5,921.25,22.28,14.78,76.08,103.85,3.035065057460008,1975,12,5,5.9,36.7,Gas Explosion
